白银祭司=tfboys？？？吓cry😳
这部奇幻电影最奇幻的地方大概就是：它！竟！ 然！还！ 有！续！集！
希望能够邀请到李易峰和安居啦北鼻来弥补第一部的遗憾。
噗，聚齐TFBOYS之路....
所以三个白银祭祀是tf boys？
郭敬明是不是对电影有什么误解.
这几年戾气下了不少，我对以往怒怼郭先生的言论表示歉意。因为无论人家拍的电影如何，票房的体现很大程度上就是这个时代大众的选择，似乎不能去责怪这个时代吧？
小四，求你了行不，放条生路……不要那么华丽，不要那么多吓人的特效……要不，你别拍电影了行不？
请注意，请注意，郭小四又一次刷新国产电影底线的电影——来啦！
18年下半年各种吐槽烂片的自媒体就指着这个活了，但是遗憾的是可能再也看不到暴走看啥片关于该片的吐槽了，很可惜。
郭敬明之辈，无法拍出好电影倒不是最坏的，最坏的便是他们引领的风气，让越来越多的抱着金钱目的商人拥入电影圈。我可以选择不看，却选择不了你继续为恶，真他妈丧。
国庆1001看了第一部，就想着要看第2部。然后发现我就只写了这一个短评，总有人来点赞，看来大家和我一样期待耶！两年了！今年会三小只一起上！漫画俊美脸庞的质感，无比期待！
这种片存在的意义，就是给妙语连珠的网友们提供创作平台
爵迹1留下的伏线好想看爵迹2
大家都不要再黑郭导了，他做的PPT还是挺好看的。
就是想看，咋子嘛
别再黑了，这部电影可是我同学的救命恩人啊，我同学车祸成了植物人，昨天我去看他，伤心的用手机给他看了《爵迹2》的预告片，他奇迹般的突然蹦了起来一把把我手机砸了。。。大叫道：这什么B玩意儿？
人口智障普查即将开启
范冰冰交过税了吗？
我就是想看
分数过3.5，吃自己的吊。
吸毒大队嫖娼大队出轨大队人马齐聚？
dei不起 我想看
预告片升级了？不再是粗颗粒了，画面质感立刻一个飞跃啊，要的。《爵迹2》改成正常比例了？我想说《爵迹1》那样拉长了的才好看，大长腿九头身，明星的美颜+漫画的形体，象预告片里的就太真人太逼真了，反而不唯美。不管怎样，会第一时间买票看的。期待已久的电影。
喜欢爵迹，喜欢郭敬明
郭小四一到店，所有喝酒的人便都看着他笑，有的叫道，“郭小四，你脸上又添上新伤疤了！”他不回答，对柜里说，“温两碗酒，要一碟茴香豆。”便排出九文大钱。他们又故意的高声嚷道，“你一定又抄了人家的东西了！”郭小四睁大眼睛说，“你怎么这样凭空污人清白……”“什么清白？我前天亲眼见你抄了型家的剧本，被奈少爷和虚少爷吊着打。”郭小四便涨红了脸，额上的青筋条条绽出，争辩道，“搬运剧本不能算抄……搬运！……电影人的事，能算抄么？”接连便是难懂的话，什么“我没有看过fate”，什么“是不是只有我死了你们才不会骂爵迹”之类，引得众人都哄笑起来：店内外充满了快活的空气。
我想四娘和投资商们肠子都悔青了，谁能想到能遭遇加拿大电鳗与小G娜的那事儿蒙混过去之后，撞上《我不是药神》与《邪不压正》夹击，赶紧撤吧等个好档期再上，然后就等来了女一范冰冰偷税漏税被罚8亿的重磅炸弹，这下应该是后会无期了，手动拜拜ヾ(￣▽￣)Bye~
无数的自媒体人期盼的素材，无数段子手们期待的梗，终于来啦！但是我不会去看电影，但是有关于电影的笑话，我还是觉得值得期待，毕竟看段子不用至少花两个小时，还省钱，
讲个鬼故事，爵迹2…
一群跟风的，还没上映你们就别乱评论好吗！ 预告片我看过了，很负责任地告诉大家他并不像你们说的像一坨屎，它简直是连屎都不如！人家小明的定位很明确的，就是新一轮脑残智障普查。
真想知道看这种电影的人是些什么人
"这部PPT 居然还有二 
真心二啊 
眼睛都睁不开了 求放过"
我的世界观被郭作家毁了.... 这玩意还有2 我的天哪
大家都懂。
有个男的追我姐，约她过几天去看电影，我姐问看哪部，他说看爵迹二，我姐果断和他分手了。
很佩服郭敬明，这地步还能拍出一如既往的烂片，牛逼啊，不是心理变态到一定地步的人做不出来这种事情的。哦，还有跟着他拍戏的那一班子人，也很厉害👍
你的爵迹2，时尚时尚最时尚，一部两部，一部两部，一部一部抄些啥
希望第二部可以逆袭一下
期待，并不觉得是垃圾。哈哈哈郭敬明这么可爱大家为什么要骂他？╯□╰
"第二次全国智障人口普查！

哦不对，不是第二次，前面还有小屎代1234"
当初看这片子谁能想到范冰冰是一番，谁又能想到范冰冰出事了。
没看过小时代、没看过爵迹！看了演员表完全没想看的冲动！只靠演员颜值堆起来的电影也就脑残儿童喜欢！用糖纸包着shi！可惜现在小孩太好骗了！还觉得shi很好吃，你不喜欢吃别拦着我们吃啊！
疯了。居然还有2
嘿，听说暂时撤档了我还挺失望的，今年的弱智人口普查不做了？
瞬间觉得郭敬明把爵迹2紧急撤档是他这辈子做过最有头脑的事。
我其实还挺想看的
郭敬明太惨了 小时代栽柯震东手里 这次爵迹估计凉范冰冰手里了
实际上剧情方面和特效是挺好看的，只是很多人不喜欢郭这个人，所以就讨厌他的作品，无可厚非，但就事论事，我虽然不喜欢他这个人，但我不会迁怒于还不错的作品。
冰冰凉凉了吗
不是今天上映吗？怕了？
范爷偷税漏税之后，这电影还上映吗？
其实还是很想看看的，希望早点上映
后来才发现，比小四更没底线的人一抓一大把，同行衬托最致命
别人拍电影又没拉着你去电影院看，为什么有些人会发出那么恶毒的言论呢？甚至看到有的人坦白地说没看过电影，就开始骂的，真心无语了，一群键盘侠。
垃圾回收站 
哈，说来惭愧，想看这部电影。虽然很多人对郭敬明踩一踩似乎是政治正确，说什么五毛特效，抄袭，辣鸡，山寨网游，但是，自从当初看了一，就想着一点要看二，只要出就看！虽然和大作还是差很多距离，但是，原著党看着很舒服，这就是我心中的尘殿，麒零，出的话，就去支持一下吧～
恶心人的电影，觉得钱好赚是吧
人脸特效进部明显
那个谁说《侏罗纪世界2》在中国提前上映是为了避开《爵迹2》的人你出来说个回答一下，《爵迹2》为什么要改档期？
去电影院看这部电影的人都是为中国电影倒退在做贡献！
想看，什么时候才能上映啊！
我严重建议这片子增加新角色，由会唱跳RAP篮球的多位一体明星蔡旭坤担任演出，然后把影片底片通过太阳发射出太阳系，让外星舰队锁定剧中人物进行逐一歼灭，中国电影市场，由此不再辣眼睛。
又是一部vr视觉观看体验！又是一次酣畅淋漓的华丽特效！又是一次精心制作的MV！总之它不是电影
对不起我……我想看……
只想问爵迹啥时候能完结？当年看到铂伊司失踪 幽冥和特蕾娅发现了大秘密就完了 这都多少年了！
这电影竟然还有续集…脑残是有多少？
我想知道为什么没有上映还是可以评价
一个丑八怪，品行不好，人们都朝他扔臭鸡蛋。后来它稍微变好看了一点，有些人就忘了他的恶行为他焚香沐浴：“你看他长的这么好看就原谅他了吧。”
依旧会去影院看，想知道接下来还会发生什么？
这个要是买票去看就真的是智商问题了。
第一部我都没有看过，我想知道小四怎么有勇气拍第二部
公众号“蓝影志”的文章让我明白了，这片子会死的很惨。
我可以悄悄的说我想看吗(　˙灬˙　)
吴亦凡银尘美腻的建模是我唯一看下去的动力！！！为此还有点小期待，要去imax曲面厅看，耽溺于美
霍比特不要脸就算了，还始终有一群更不要脸的固定卡司来舔就更受不了了 很多人会打一星的，所以我先骂，尽管不能打分。
当年吉尔伽美什金闪闪技能和名字出来时我一股反胃，公然抄袭fate系列。这点我不做评判，如若郭导不弥补各种不足。票房口碑失利是小，丢人现眼事大。现中国电影市场虽说还不完善，但观众较之两年前以大有不同。如若在不是诚意之作，观众必以手中影票为器予以回击，以正不正之风
超想看
"看过1确认是烂片
2没有王俊凯千玺绝对不掏钱"
爵迹2   有范冰冰  估计不会再播了吧
爵迹+郭敬明+范冰冰+吴亦凡=？？？年度大烂片？话题超神？？？刷到50000京流量？？？
我就想看看它能烂到什么境界
烂片
"技术有提高，关键是剧情能否讲清楚，我表示怀疑。
郭敬明选了那么多流量明星，那么大的宣传，但是从爵迹1就能看出来，没有花时间在剧情上，演技上。郭敬明是个合格的商人，也可以说他是合格的作家，但他不是一个合格的导演，一个合格的艺术家，这点肯定。多加1星，鼓励一下。"
原著党表示真心期待《爵迹2》
郭敬明是认真的吗？
希望豆瓣的三观影评家们远离这部电影
有胆
好想看，好想看，好想看这部动画片。
牛逼！还有2？！
"我的白银祭祀就这么给他们毁了……
无奈。他们唱歌我倒是挺认可的，但你说你一个没有演技的人过来演什么东西啊，真的是。不管郭敬明的小说是怎么样，至少他现在呈现出来的东西是好的，管他三七二十一呢，不然为什么还有这么多人看，竟然看了就不要再提那些有的没的，每次都是给了这些人毁了心情。"
郭敬明不是说七月六号么？没上！
因为FBB就不上了？
审丑也要有始有终
冰冰凉了 不会又要删戏了吧...后期真可怜
自己喜欢就好，不要在乎别人的看法，烂片也是有人喜欢的，高分片也有人给一星。既然大家意见不一，那就不必有交集。
希望有人不要带有色眼镜看人 永远不要
我就想看七度空间cp
第一部烂，那么第二部会怎么样呢？
我是著名眼科大夫，如果你有眼瞎的症状，不用去医院看一部爵迹保证治好，不要问我为什么，因为导演是郭敬明一个身高和智商一等一的啥子。
对不起，我想看
烂片标记先给你们打上
不知道为什么越烂越想看
画面还是很精致的
范冰冰这事出来谁还去看啊
想看想看，早点上映啊！！！
还能上吗？至少我还想看
lei了lei了，全国第二次低智商人口普查（除了取材之人）
国家为什么放纵这种烂片坑我们。
祭司boys ？？？
告诉你们，票房不会低，但是依然可能（不，是一定）是烂片
不错
纯粹是想欣赏CG技术
看了第一部，港真我觉得不错啊😂反正见仁见智吧，我还是想看的。
不管你们怎么说，我个人感觉第一部还是好看的。期待第二部
希望还能上映，我会去支持的
爵迹这种电影不应该绝迹了吗？
支持你，爵迹拍的还是不错地，你出电影还是可以的，至少比其他烂片导演好，尤其是郭德纲，md19代把我最后一次信任都给栽进去了
如果音乐没变的话，我还是想看的
都让让，最新一轮智障人口普查要开始了。
无脑黑真多，不知道谁才是小学生，唉……被黑得多了反而看gjm 顺眼一些了，人家白手起家屌丝逆袭就这么招人恨吗
竟然有2？
服化道还是不错的，剧情我已经放弃了。
想看票房会不会比阿修罗更惨。
你们究竟在战斗些啥子???
＝＝
还是很期待爵迹的，因为小说本身就很吸引人，我超喜欢第一部的银尘的，太美啦！银尘大美人！
这是用这部电影证明某人的存在
还改档啊 干脆别上了 上了票房照样糊
反正你们这帮粉丝再怎么支持四娘人撑死了也就是口头感谢一下，然后继续去当他的导演，永远不会替你们考虑一下，比如说去把几十年没填的那些坑填上之类的。
"看完爵迹一，被王爵与使徒之间的信任坚守所打动，为他们从曾经的满怀期待到如今的绝望悲痛感到同情。
    期待爵迹二的精彩！"
这是想退出电影圈的自杀式上映吗？
CG，computer graphics用计算机进行视觉设计和生产。中国电影美术学会2019年进行CG艺术双年展。
额？？？？其他主演呢？？？
烂
爵迹2改档，期待持续。没人在意电影本身如何，在意的只是自己能不能说上几句。乌合之众or群众的力量，群众是盲目or眼睛雪亮，both of all罢了。人性就是这么分裂，性既本善又性本恶，本质上——自私，善恶只是其表象/结果。动机不重要（因为动机永远只有一个：自利），重要的是，结果是否道德。
上映
哈哈哈哈就想知道还能拍成什么样～
竟然还有第二部  
制模那么辣鸡，第一部口碑成那样，到底谁给郭矮子的勇气整的2，老子的戾气忍不住了，郭矮子近几年小说也写不好了，就别祸害人间了吧
非常想看，甚至想提前打五分
身先士（试）卒（毒）
还没上映就一堆评分了，真厉害🙂
其实蛮想看的哈哈哈哈。
段子手们已经准备就绪 又一届全民吐槽大会即将开始 期待ing
看完第一部还想看第二啊，内容量不够
拍个电影要3年？！
TFBOYS 
小四还好意思出续集。
第二张剧照这是人脸?
烂片预订
凉凉了
哈哈哈哈哈哈哈
第一部都烂成这样了，郭敬明还敢厚着脸皮拍第二部？？？怕不是脑子进💩
快点上映啊，今年佳片不断，就差爵迹了，要不然那些电影“毒舌”解说哪有素材吐槽哦！小四，笔芯！
这片到底上不上啊？18期待到19！！！都准备好开嘲讽技能了…
梁静茹你真不该唱勇气啊！
我就是想看我银尘殿下美颜。
2019，爵迹2不在，想它。
这特么还要出第二部
一坨屎
我也想看看吉尔伽美什。
哈哈哈哈哈超级想看！素材源源不断！
当你不开心的时候，去看看那些评分低于5的国产烂片的豆瓣评论区，会笑到直不起腰
想看！
第一部看完，现在巨期待第二部救吉尔伽美什，不过，上帝啊，小四你答应我不要为了哪一位作妖，谢谢你
郭敬明这三个字就毫无疑问是烂片的代名词。能喜欢他的作品的，非傻即呆！
这还能拍第二部？
我真的想看👌看看能有多烂
吐槽过第一部，现在想想，怎么说呢，存在即合理吧~~~~~小说有人喜欢，有粉丝基础，电影也就同理了，爱看不看保持客观中立。
先补完第一部再考虑要不要看。郭真的很差吗？
《爵迹2》退出暑假档，是对手太强？还是要憋大招了？https://mp.weixin.qq.com/s/3q4qODTKpu8Vxt_thyxI9g
@奈須きのこ
哈哈哈看看热闹
不是想看，就是想说别伤害我家崽崽。
